source_system,application_number,application_type,licence_name,address,suburb,postcode,lga,posted_date,status,source_url,description
planningalerts_ilga,seed-ilga-001,New licence - on premises,,23-25 Mangrove Lane,Taren Point,2229,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-002,New licence - small bar,,8 Loftus St,Sydney,2000,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-003,New licence - on premises,,40 Myoora Rd,Terrey Hills,2084,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=2,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-004,New licence - on premises - restaurant,,481 Princes Hwy,Rockdale,2216,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=2,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-005,New licence - on premises - restaurant,,Shop 1/43A Elvina Avenue,Avalon Beach,2107,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=2,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-006,New licence - on premises,,Gables Tenancy MM012/4 Lakefront Crescent,Box Hill,2765,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=2,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-007,New licence - on premises,,Suite 201 1-17 Elsie St,Burwood,2134,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=2,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-008,New licence - on premises - restaurant,,Shop 1 51-53 Lantana Rd,Engadine,2233,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=3,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-009,New licence - on premises - restaurant,,Marina Square Shopping Centre Tenancy RT.319 5 Footbridge Boulevard,Wentworth Point,2127,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=3,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-010,New licence - on premises - restaurant,,Shop G01 345B Sussex Street,Sydney,2000,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=3,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-011,New licence - on premises,,Rosebery Engine Yards Tenancy T6 115-151 Dunning Avenue,Rosebery,2018,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=4,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-012,New licence - on premises,,Powerhouse Parramatta 34/47 Phillip Street,Parramatta,2150,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=4,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-013,New licence - on premises,,Basement 39-43 Darlinghurst Road,Potts Point,2011,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=5,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-014,New licence - on premises - restaurant,,121 King St,Newtown,2042,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=5,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,APP-0016407554,New licence - on premises,,Level 17 400 George St,Sydney,2000,,2026-05-16,,https://www.planningalerts.org.au/applications/3481152,Planning Alerts record sourced from NSW Independent Liquor and Gaming Authority
planningalerts_ilga,seed-ilga-016,New licence - on premises - restaurant,,Shop 1 307 Military Rd,Cremorne,2090,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=6,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-017,New licence - on premises - restaurant,,335B Henry Lawson Drive,Bankstown Aerodrome,2200,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=6,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-018,New licence - small bar,,42-44 Meagher St,Chippendale,2008,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=7,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,seed-ilga-019,New licence - small bar,,78-80 Railway Cr,Jannali,2226,,,https://www.planningalerts.org.au/authorities/nsw_olgr/applications?page=7,Planning Alerts discovery seed from NSW Independent Liquor and Gaming Authority feed
planningalerts_ilga,APP-0016685047,New licence - on premises - restaurant,,135 Crown St,Darlinghurst,2010,,2026-08-04,,https://www.planningalerts.org.au/applications/3532057,Planning Alerts record sourced from NSW Independent Liquor and Gaming Authority
planningalerts_ilga,APP-0016581122,New licence - on premises - restaurant,,90 Oxford St,Darlinghurst,2010,,2026-08-01,,https://www.planningalerts.org.au/applications/3531168,Planning Alerts record sourced from NSW Independent Liquor and Gaming Authority
planningalerts_ilga,APP-0016367622,New licence - on premises - restaurant,,Shop 11 3-5 Greenfield Rd,Greenfield Park,2176,,2026-08-01,,https://www.planningalerts.org.au/applications/3531163,Planning Alerts record sourced from NSW Independent Liquor and Gaming Authority
planningalerts_ilga,APP-0016127265,New licence - small bar,,LG01 & LG02 350 George St,Sydney,2000,,2026-04-17,,https://www.planningalerts.org.au/applications/3465385,Planning Alerts record sourced from NSW Independent Liquor and Gaming Authority
planningalerts_ilga,APP-0016573747,New licence - small bar,,Ground Floor 65-67 Foveaux St,Surry Hills,2010,,2026-07-17,,https://www.planningalerts.org.au/applications/3522194,Planning Alerts record sourced from NSW Independent Liquor and Gaming Authority
planningalerts_ilga,APP-0016710690,New licence - on premises - restaurant,,Shop 10 101 Waterloo Road,Macquarie Park,2113,,2026-08-12,,https://www.planningalerts.org.au/applications/3537286,Planning Alerts record sourced from NSW Independent Liquor and Gaming Authority
planningalerts_ilga,APP-0016713229,New licence - on premises - restaurant,,Shop 3 314-322 Darling St,Balmain,2041,,2026-08-14,,https://www.planningalerts.org.au/applications/3538796,Planning Alerts record sourced from NSW Independent Liquor and Gaming Authority
planningalerts_ilga,APP-0016099437,New licence - on premises - restaurant,,157 Concord Rd,North Strathfield,2137,,2026-04-17,,https://www.planningalerts.org.au/applications/3465371,Planning Alerts record sourced from NSW Independent Liquor and Gaming Authority
planningalerts_ilga,APP-0016420785,New licence - on premises - restaurant,,Sydney Business Park Tenancy FB-03 11 Darling Street & Chiswick Glade,Marsden Park,2765,,2026-06-02,,https://www.planningalerts.org.au/applications/3489824,Planning Alerts record sourced from NSW Independent Liquor and Gaming Authority
